circuit,precision,backend,threshold,fidelity,expected_runtime_sec
ghz_indep_qiskit_130.qasm,double,CPU,2,1.0,0.32489780000014434
ghz_indep_qiskit_130.qasm,single,CPU,1,0.4999999828857291,0.3465307000001303
ghz_indep_qiskit_130.qasm,single,CPU,2,0.9999997615814351,0.33398239999996804
ghz_indep_qiskit_130.qasm,double,GPU,1,0.5000000000000001,0.5805135000000519
ghz_indep_qiskit_130.qasm,double,GPU,2,1.0,0.8300029000001814
ghz_indep_qiskit_130.qasm,single,GPU,1,0.4999999828857291,0.5171804999999949
ghz_indep_qiskit_130.qasm,single,GPU,2,0.999999880790714,0.7437592999999652
ghz_indep_qiskit_15.qasm,double,CPU,1,0.5000000000000001,0.22089669999991202
ghz_indep_qiskit_15.qasm,double,CPU,2,1.0,0.2496398999999201
ghz_indep_qiskit_15.qasm,single,CPU,1,0.4999999828857291,0.22806790000004185
ghz_indep_qiskit_15.qasm,single,CPU,2,0.9999997615814351,0.22837039999990338
ghz_indep_qiskit_15.qasm,double,GPU,1,0.5000000000000001,0.5587884000001395
ghz_indep_qiskit_15.qasm,double,GPU,2,1.0,0.25336620000007315
ghz_indep_qiskit_15.qasm,single,GPU,1,0.4999999828857291,0.2359956999998758
ghz_indep_qiskit_15.qasm,single,GPU,2,0.999999880790714,0.2162705000000642
ghz_indep_qiskit_30.qasm,double,CPU,1,0.5000000000000001,0.26400630000011915
ghz_indep_qiskit_30.qasm,double,CPU,2,1.0,0.2411455000001297
ghz_indep_qiskit_30.qasm,single,CPU,1,0.4999999828857291,0.23440049999999246
ghz_indep_qiskit_30.qasm,single,CPU,2,0.9999997615814351,0.31930850000003375
ghz_indep_qiskit_30.qasm,double,GPU,1,0.5000000000000001,0.22918640000011692
ghz_indep_qiskit_30.qasm,double,GPU,2,1.0,0.31886039999994864
ghz_indep_qiskit_30.qasm,single,GPU,1,0.4999999828857291,0.23342189999993934
ghz_indep_qiskit_30.qasm,single,GPU,2,0.999999880790714,0.23885930000005828
graphstate_indep_qiskit_15.qasm,double,CPU,1,0.0039062499999999757,0.49881329999993795
graphstate_indep_qiskit_15.qasm,double,CPU,2,0.011460919117460788,0.4497593999999481
graphstate_indep_qiskit_15.qasm,double,CPU,4,0.696600503211657,0.7432962999998836
graphstate_indep_qiskit_15.qasm,double,CPU,8,0.696600503211657,0.35049049999997806
graphstate_indep_qiskit_15.qasm,double,CPU,16,0.696600503211657,0.34082820000003267
graphstate_indep_qiskit_15.qasm,double,CPU,32,0.696600503211657,0.3454696999999669
graphstate_indep_qiskit_15.qasm,double,CPU,64,0.696600503211657,0.3539324000000761
graphstate_indep_qiskit_15.qasm,double,CPU,128,0.696600503211657,0.3392796000000544
graphstate_indep_qiskit_15.qasm,double,CPU,256,0.696600503211657,0.3469081999999162
graphstate_indep_qiskit_15.qasm,double,CPU,512,0.696600503211657,1.2352106999969692
graphstate_indep_qiskit_15.qasm,single,CPU,1,0.0039062476716939104,0.28682469999989735
graphstate_indep_qiskit_15.qasm,single,CPU,2,0.0163267891663601,0.24985560000004625
graphstate_indep_qiskit_15.qasm,single,CPU,4,0.9999989271166818,0.3174455000000762
graphstate_indep_qiskit_15.qasm,single,CPU,32,0.9999991655351472,2.583632599998964
graphstate_indep_qiskit_15.qasm,single,CPU,64,0.9999991655351472,0.9168368999962695
graphstate_indep_qiskit_15.qasm,single,CPU,128,0.9999991655351472,0.9103583999967668
graphstate_indep_qiskit_15.qasm,single,CPU,256,0.9999991655351472,0.892966699997487
graphstate_indep_qiskit_15.qasm,single,CPU,512,0.9999991655351472,0.6811697000011918
graphstate_indep_qiskit_15.qasm,double,GPU,1,0.003906249999999988,0.5877273999999488
graphstate_indep_qiskit_15.qasm,double,GPU,2,0.01924246938569833,0.654055999999855
graphstate_indep_qiskit_15.qasm,double,GPU,4,1.0000000000000027,0.6558356999998978
graphstate_indep_qiskit_15.qasm,single,GPU,1,0.003906249068677481,0.26513370000020586
graphstate_indep_qiskit_15.qasm,single,GPU,2,0.010011519230801513,0.3896919999999682
graphstate_indep_qiskit_15.qasm,single,GPU,4,0.9999997615814351,0.3196864000001369
groundstate_large_indep_qiskit_14.qasm,double,CPU,1,9.524719721463185e-05,0.21745710000004692
groundstate_large_indep_qiskit_14.qasm,double,CPU,2,7.90860803114369e-05,0.2524948000000222
groundstate_large_indep_qiskit_14.qasm,double,CPU,4,0.2608022475093844,0.2792144999998527
groundstate_large_indep_qiskit_14.qasm,double,CPU,8,1.000000000002697,0.3240049999999428
groundstate_large_indep_qiskit_14.qasm,single,CPU,1,2.6823025969599234e-05,0.23310459999993327
groundstate_large_indep_qiskit_14.qasm,single,CPU,2,1.5004119318596843e-08,0.23406960000011168
groundstate_large_indep_qiskit_14.qasm,single,CPU,4,0.26047852679235733,0.2508810999997877
groundstate_large_indep_qiskit_14.qasm,single,CPU,8,0.9997676746156348,0.3294655999998213
groundstate_large_indep_qiskit_14.qasm,double,GPU,1,9.524719721463197e-05,1.9326492999998663
groundstate_large_indep_qiskit_14.qasm,double,GPU,2,7.908607025570582e-05,2.6570323000000826
groundstate_large_indep_qiskit_14.qasm,double,GPU,4,0.2608015221029334,3.3750428999996984
groundstate_large_indep_qiskit_14.qasm,double,GPU,8,1.0000000000002176,4.343730300000061
groundstate_large_indep_qiskit_14.qasm,single,GPU,1,2.6822995801226547e-05,1.747407700000167
groundstate_large_indep_qiskit_14.qasm,single,GPU,2,2.362146645678052e-05,2.4129014999998617
groundstate_large_indep_qiskit_14.qasm,single,GPU,4,0.2608037623420561,2.941321700000117
groundstate_large_indep_qiskit_14.qasm,single,GPU,8,0.9999998807914314,3.0953991999999744
grover-noancilla_indep_qiskit_11.qasm,double,CPU,1,0.999999999989406,4.382526199988206
grover-noancilla_indep_qiskit_11.qasm,single,CPU,1,0.9999979740198364,2.352997800000594
grover-noancilla_indep_qiskit_11.qasm,double,GPU,1,0.9999999999894038,451.7960688000021
grover-noancilla_indep_qiskit_11.qasm,single,GPU,1,0.9999979792954881,422.9734718000109
grover-noancilla_indep_qiskit_7.qasm,double,CPU,1,0.9999259868410404,0.22551999999996042
grover-noancilla_indep_qiskit_7.qasm,single,CPU,1,0.9999263300162953,0.2112955000011425
grover-noancilla_indep_qiskit_7.qasm,double,GPU,1,0.9999259868410408,6.223358700000972
grover-noancilla_indep_qiskit_7.qasm,single,GPU,1,0.9999260916106543,5.816487500000221
grover-v-chain_indep_qiskit_17.qasm,double,CPU,1,0.9999999997440425,3.2436336999962805
grover-v-chain_indep_qiskit_17.qasm,single,CPU,1,0.9999984570622278,1.8144183999975212
grover-v-chain_indep_qiskit_17.qasm,double,GPU,1,0.9999999997440454,325.91768080000475
grover-v-chain_indep_qiskit_17.qasm,single,GPU,1,0.9999992938587561,324.7893863999925
grover-v-chain_indep_qiskit_7.qasm,double,CPU,1,0.9974747860860493,0.2138409999997748
grover-v-chain_indep_qiskit_7.qasm,single,CPU,1,0.9974773047622107,0.23941560000002937
grover-v-chain_indep_qiskit_7.qasm,double,GPU,1,0.9974747860860489,1.8360210999999254
grover-v-chain_indep_qiskit_7.qasm,single,GPU,1,0.9974751628922761,1.7035980000000563
portfolioqaoa_indep_qiskit_10.qasm,double,CPU,1,2.8878667239354657e-05,0.22445980000020427
portfolioqaoa_indep_qiskit_10.qasm,double,CPU,2,7.51334051232153e-08,0.2287861999998313
portfolioqaoa_indep_qiskit_10.qasm,double,CPU,4,0.6248918858135292,0.23968029999969076
portfolioqaoa_indep_qiskit_10.qasm,double,CPU,8,0.9512942369662831,0.32945980000022246
portfolioqaoa_indep_qiskit_10.qasm,double,CPU,16,0.9999980264367786,0.43493030000036015
portfolioqaoa_indep_qiskit_10.qasm,single,CPU,1,2.8861316413516624e-05,0.2724719000002551
portfolioqaoa_indep_qiskit_10.qasm,single,CPU,2,7.510989465885181e-08,0.25773590000017066
portfolioqaoa_indep_qiskit_10.qasm,single,CPU,4,0.6248927757129588,0.24955590000035954
portfolioqaoa_indep_qiskit_10.qasm,single,CPU,8,0.9513001192919034,0.2817377999999735
portfolioqaoa_indep_qiskit_10.qasm,single,CPU,16,0.9999991655481837,0.3377061999999569
portfolioqaoa_indep_qiskit_10.qasm,double,GPU,1,2.887866723941323e-05,1.3495866999996906
portfolioqaoa_indep_qiskit_10.qasm,double,GPU,2,7.513340512377326e-08,1.8753977999999734
portfolioqaoa_indep_qiskit_10.qasm,double,GPU,4,0.6248920594610612,3.0780540000000656
portfolioqaoa_indep_qiskit_10.qasm,double,GPU,8,0.9512831968130754,5.393968700000187
portfolioqaoa_indep_qiskit_10.qasm,double,GPU,16,0.9999981143982746,7.829988800000137
portfolioqaoa_indep_qiskit_10.qasm,single,GPU,1,2.8909350720206438e-05,1.220498199999838
portfolioqaoa_indep_qiskit_10.qasm,single,GPU,2,7.516650906546708e-08,1.6959986000001663
portfolioqaoa_indep_qiskit_10.qasm,single,GPU,4,0.6249004658918678,2.159648400000151
portfolioqaoa_indep_qiskit_10.qasm,single,GPU,8,0.9512840773365863,2.3301078999998026
portfolioqaoa_indep_qiskit_10.qasm,single,GPU,16,0.9999941587572786,2.5404011000000537
portfolioqaoa_indep_qiskit_17.qasm,double,CPU,1,0.00014887917293589164,0.23290470000029018
portfolioqaoa_indep_qiskit_17.qasm,double,CPU,2,1.4047975265662292e-05,0.3632679999991524
portfolioqaoa_indep_qiskit_17.qasm,double,CPU,4,0.052191768879708535,0.5022040000003472
portfolioqaoa_indep_qiskit_17.qasm,double,CPU,8,0.632512333947625,1.228350400000636
portfolioqaoa_indep_qiskit_17.qasm,double,CPU,16,0.9941446378646979,5.291581999999835
portfolioqaoa_indep_qiskit_17.qasm,single,CPU,1,0.00014887778256046126,0.24176660000011907
portfolioqaoa_indep_qiskit_17.qasm,single,CPU,2,1.4011096709188914e-05,0.32733399999960966
portfolioqaoa_indep_qiskit_17.qasm,single,CPU,4,0.05219967860612451,0.37483830000019225
portfolioqaoa_indep_qiskit_17.qasm,single,CPU,8,0.6332862653066095,0.908390499998859
portfolioqaoa_indep_qiskit_17.qasm,single,CPU,16,0.9941747081843132,3.1271406000014395
portfolioqaoa_indep_qiskit_17.qasm,double,GPU,1,0.00014887917293587762,5.740109899999879
portfolioqaoa_indep_qiskit_17.qasm,double,GPU,2,1.3426766129891873e-05,7.28501580000011
portfolioqaoa_indep_qiskit_17.qasm,double,GPU,4,0.05219275142085813,14.286129399999481
portfolioqaoa_indep_qiskit_17.qasm,double,GPU,8,0.6325058211767582,18.766477799999848
portfolioqaoa_indep_qiskit_17.qasm,double,GPU,16,0.9941440214122096,29.89534789999925
portfolioqaoa_indep_qiskit_17.qasm,single,GPU,1,0.00014886411009875245,5.274697800001377
portfolioqaoa_indep_qiskit_17.qasm,single,GPU,2,1.3395469265474057e-05,7.078062099999443
portfolioqaoa_indep_qiskit_17.qasm,single,GPU,4,0.05210703711598108,9.453463899999406
portfolioqaoa_indep_qiskit_17.qasm,single,GPU,8,0.6345303740262441,11.696499099998618
portfolioqaoa_indep_qiskit_17.qasm,single,GPU,16,0.994155308256663,16.646296700000676
portfoliovqe_indep_qiskit_10.qasm,double,CPU,1,0.10981981385077373,0.25855289999981323
portfoliovqe_indep_qiskit_10.qasm,double,CPU,2,0.09259853382035173,0.2473282000000836
portfoliovqe_indep_qiskit_10.qasm,double,CPU,4,0.4268442587427815,0.22646190000023125
portfoliovqe_indep_qiskit_10.qasm,double,CPU,8,0.8540713466085254,0.26470930000004955
portfoliovqe_indep_qiskit_10.qasm,double,CPU,16,1.0000000000017883,0.23857619999989765
portfoliovqe_indep_qiskit_10.qasm,single,CPU,1,0.10981980180269435,0.22280869999985953
portfoliovqe_indep_qiskit_10.qasm,single,CPU,2,0.09259849621034633,0.20852670000022044
portfoliovqe_indep_qiskit_10.qasm,single,CPU,4,0.4268437860703358,0.21895739999990838
portfoliovqe_indep_qiskit_10.qasm,single,CPU,8,0.8541045428845706,0.25844340000003285
portfoliovqe_indep_qiskit_10.qasm,single,CPU,16,1.0000002384185933,0.2456619999998111
portfoliovqe_indep_qiskit_10.qasm,double,GPU,1,0.10981981385077502,1.1379420000002938
portfoliovqe_indep_qiskit_10.qasm,double,GPU,2,0.0925985311821736,1.621062300000176
portfoliovqe_indep_qiskit_10.qasm,double,GPU,4,0.4268446315547834,2.4877111000000696
portfoliovqe_indep_qiskit_10.qasm,double,GPU,8,0.8540713665993943,4.0871641000003365
portfoliovqe_indep_qiskit_10.qasm,double,GPU,16,1.0000000000000564,4.0507666000003155
portfoliovqe_indep_qiskit_10.qasm,single,GPU,1,0.10981948576411416,0.9924766999997701
portfoliovqe_indep_qiskit_10.qasm,single,GPU,2,0.09259905847971428,1.446721300000263
portfoliovqe_indep_qiskit_10.qasm,single,GPU,4,0.42684503220472436,1.7794992999997703
portfoliovqe_indep_qiskit_10.qasm,single,GPU,8,0.854063229418589,2.0008456999999
portfoliovqe_indep_qiskit_10.qasm,single,GPU,16,1.0,1.8965431000001445
portfoliovqe_indep_qiskit_18.qasm,double,CPU,1,0.01163897392944098,0.25589099999979226
portfoliovqe_indep_qiskit_18.qasm,double,CPU,2,0.0006639015632541198,0.3530743999999686
portfoliovqe_indep_qiskit_18.qasm,double,CPU,4,0.0008170154725830776,0.4721922999997332
portfoliovqe_indep_qiskit_18.qasm,double,CPU,8,0.3991993559202103,0.7670493999994505
portfoliovqe_indep_qiskit_18.qasm,double,CPU,16,1.0000000000226552,1.0796383000006244
portfoliovqe_indep_qiskit_18.qasm,single,CPU,1,0.011638940789161778,0.2256266999993386
portfoliovqe_indep_qiskit_18.qasm,single,CPU,2,0.0006630141555985652,0.34910039999977016
portfoliovqe_indep_qiskit_18.qasm,single,CPU,4,0.0010221565215851186,0.40420300000005227
portfoliovqe_indep_qiskit_18.qasm,single,CPU,8,0.39922086988758565,0.6650264999998399
portfoliovqe_indep_qiskit_18.qasm,single,CPU,16,0.9999996423721633,2.235620399999789
portfoliovqe_indep_qiskit_18.qasm,double,GPU,1,0.011638973929441174,6.258689500000401
portfoliovqe_indep_qiskit_18.qasm,double,GPU,2,0.0006634947580475439,8.017148300000372
portfoliovqe_indep_qiskit_18.qasm,double,GPU,4,0.000818694286374151,15.114187000000129
portfoliovqe_indep_qiskit_18.qasm,double,GPU,8,0.39919958010921414,17.539762299999893
portfoliovqe_indep_qiskit_18.qasm,double,GPU,16,0.9999999999997737,17.819490900000346
portfoliovqe_indep_qiskit_18.qasm,single,GPU,1,0.011638993839881095,5.294392799999514
portfoliovqe_indep_qiskit_18.qasm,single,GPU,2,0.000662787030033099,7.394789599999967
portfoliovqe_indep_qiskit_18.qasm,single,GPU,4,0.0008267892806790855,9.652887799999917
portfoliovqe_indep_qiskit_18.qasm,single,GPU,8,0.3991995542976703,11.61492300000009
portfoliovqe_indep_qiskit_18.qasm,single,GPU,16,1.0000002384185933,12.553283299999748
pricingcall_indep_qiskit_17.qasm,double,CPU,1,0.0,0.3434075999994093
pricingcall_indep_qiskit_17.qasm,double,CPU,2,0.061234363634241416,0.3931925000015326
pricingcall_indep_qiskit_17.qasm,double,CPU,4,0.4419899748568723,0.4828319999996893
pricingcall_indep_qiskit_17.qasm,double,CPU,8,0.9972381604955225,0.6443184999989171
pricingcall_indep_qiskit_17.qasm,single,CPU,1,0.0,0.28946130000076664
pricingcall_indep_qiskit_17.qasm,single,CPU,2,0.06123733301036939,0.29784289999952307
pricingcall_indep_qiskit_17.qasm,single,CPU,4,0.417418541277114,0.32711340000059863
pricingcall_indep_qiskit_17.qasm,single,CPU,8,0.9972395899541225,0.3968473000004451
pricingcall_indep_qiskit_17.qasm,double,GPU,1,2.9144523388538183e-33,3.2734727000006387
pricingcall_indep_qiskit_17.qasm,double,GPU,2,0.061234393762555246,4.712218700000449
pricingcall_indep_qiskit_17.qasm,double,GPU,4,0.4419887171336876,8.94736340000054
pricingcall_indep_qiskit_17.qasm,double,GPU,8,0.9972379797689478,14.119655100001182
pricingcall_indep_qiskit_17.qasm,single,GPU,1,1.9075217542234015e-16,2.871953300000314
pricingcall_indep_qiskit_17.qasm,single,GPU,2,0.061234412576226166,3.9879921000010654
pricingcall_indep_qiskit_17.qasm,single,GPU,4,0.44199274662706073,4.8598627999999735
pricingcall_indep_qiskit_17.qasm,single,GPU,8,0.9972357805616822,5.615355500000078
qaoa_indep_qiskit_16.qasm,double,CPU,1,1.0000000000000075,0.41627360000006774
qaoa_indep_qiskit_16.qasm,single,CPU,1,0.9999983310707101,0.2380504000000201
qaoa_indep_qiskit_16.qasm,double,GPU,1,1.0000000000000018,0.6504416999998739
qaoa_indep_qiskit_16.qasm,single,GPU,1,0.999999761581679,0.383549099999982
qft_indep_qiskit_130.qasm,double,CPU,1,0.9999999992331061,47.46787680000125
qft_indep_qiskit_130.qasm,single,CPU,1,0.9999924898648939,15.550791800000297
qft_indep_qiskit_130.qasm,double,GPU,1,1.0000000000105294,856.3977712999986
qft_indep_qiskit_130.qasm,single,GPU,1,1.0,685.480292500004
qft_indep_qiskit_15.qasm,double,CPU,1,0.9999999999987221,0.8136687999999594
qft_indep_qiskit_15.qasm,single,CPU,1,0.9999988079075415,0.295401899999888
qft_indep_qiskit_15.qasm,double,GPU,1,0.9999999999999776,2.352667999999994
qft_indep_qiskit_15.qasm,single,GPU,1,0.999999880790714,1.643298699999832
qft_indep_qiskit_30.qasm,double,CPU,1,0.999999999990262,3.3339263999996547
qft_indep_qiskit_30.qasm,single,CPU,1,0.999998092653518,0.8472648999995727
qft_indep_qiskit_30.qasm,double,GPU,1,1.000000000000075,14.371103299999959
qft_indep_qiskit_30.qasm,single,GPU,1,0.999999880790714,10.736785499999314
qftentangled_indep_qiskit_15.qasm,double,CPU,1,0.49999999999936134,0.22792070000014064
qftentangled_indep_qiskit_15.qasm,double,CPU,2,1.0000000000001155,0.2679382999999689
qftentangled_indep_qiskit_15.qasm,single,CPU,1,0.5000003200606875,0.23387460000003557
qftentangled_indep_qiskit_15.qasm,single,CPU,2,0.9999971389790971,0.2549157000003106
qftentangled_indep_qiskit_15.qasm,double,GPU,1,0.4999999999999889,1.846621099999993
qftentangled_indep_qiskit_15.qasm,double,GPU,2,1.0000000000000004,2.052296899999874
qftentangled_indep_qiskit_15.qasm,single,GPU,1,0.4999999828857291,1.5929898999997931
qftentangled_indep_qiskit_15.qasm,single,GPU,2,0.999999880792942,1.9843642000000727
qftentangled_indep_qiskit_30.qasm,double,CPU,1,0.49999999999513245,0.3506969999998546
qftentangled_indep_qiskit_30.qasm,double,CPU,2,1.0000000000025868,0.5591046000008646
qftentangled_indep_qiskit_30.qasm,single,CPU,1,0.5000009101179048,0.2501012999982777
qftentangled_indep_qiskit_30.qasm,single,CPU,2,0.9999940395856248,0.49010640000051353
qftentangled_indep_qiskit_30.qasm,double,GPU,1,0.5000000000000376,11.962720600000466
qftentangled_indep_qiskit_30.qasm,double,GPU,2,0.9999999999223579,13.055875099998957
qftentangled_indep_qiskit_30.qasm,single,GPU,1,0.4999999828857291,10.60055310000098
qftentangled_indep_qiskit_30.qasm,single,GPU,2,0.9999998807907632,12.809371299999839
qnn_indep_qiskit_20.qasm,double,CPU,1,0.0010036119355930709,0.2713124000001699
qnn_indep_qiskit_20.qasm,double,CPU,2,0.08059772215295195,0.43125700000018696
qnn_indep_qiskit_20.qasm,double,CPU,4,0.3886450154740636,0.6085741999995662
qnn_indep_qiskit_20.qasm,double,CPU,8,0.3459465284371138,1.3670860000020184
qnn_indep_qiskit_20.qasm,double,CPU,16,0.92645448957619,6.42811200000142
qnn_indep_qiskit_20.qasm,double,CPU,32,0.9998882017929162,12.019350300000951
qnn_indep_qiskit_20.qasm,single,CPU,1,0.0010036005781741209,0.2269575000027544
qnn_indep_qiskit_20.qasm,single,CPU,2,0.08106271954957234,0.37824449999970966
qnn_indep_qiskit_20.qasm,single,CPU,4,0.3887908343623734,0.4508741999998165
qnn_indep_qiskit_20.qasm,single,CPU,8,0.3457295929977409,1.1698257999996713
qnn_indep_qiskit_20.qasm,single,CPU,16,0.9261289846888594,4.122700600000826
qnn_indep_qiskit_20.qasm,single,CPU,32,0.9999053500677321,19.021768599999632
qnn_indep_qiskit_20.qasm,double,GPU,1,0.001003611935593058,6.78613949999999
qnn_indep_qiskit_20.qasm,double,GPU,2,0.08059498050284118,8.761961000000156
qnn_indep_qiskit_20.qasm,double,GPU,4,0.38864502061306194,19.307344400000147
qnn_indep_qiskit_20.qasm,double,GPU,8,0.3458949870977152,21.100037999996857
qnn_indep_qiskit_20.qasm,double,GPU,16,0.9264512753558192,33.681104100000084
qnn_indep_qiskit_20.qasm,double,GPU,32,0.9998902180167684,49.46049719999792
qnn_indep_qiskit_20.qasm,single,GPU,1,0.0010036095222859254,5.977585399999953
qnn_indep_qiskit_20.qasm,single,GPU,2,0.0804939225220064,8.416695600000821
qnn_indep_qiskit_20.qasm,single,GPU,4,0.38864879095079985,11.44723779999913
qnn_indep_qiskit_20.qasm,single,GPU,8,0.34606144147760154,13.654566500001238
qnn_indep_qiskit_20.qasm,single,GPU,16,0.9264567973440528,18.851111299998593
qnn_indep_qiskit_20.qasm,single,GPU,32,0.9998338292593077,21.74989579999965
qpeexact_indep_qiskit_100.qasm,double,CPU,1,0.9999999999983897,6.259242099997209
qpeexact_indep_qiskit_100.qasm,single,CPU,1,0.999980572219307,2.3785233999988122
